id,user,month,income,expenses,savings
160,14,2024-04-01,24529,7400,17129
161,14,2024-05-01,27115,11294,15821
162,14,2024-06-01,24982,12007,12975
163,14,2024-07-01,20104,14152,5952
164,14,2024-08-01,30386,15715,14671
165,14,2024-09-01,23034,10477,12557
166,14,2024-10-01,25754,10332,15422
167,14,2024-11-01,34034,13113,20921
168,14,2024-12-01,23872,12103,11769
169,15,2024-01-01,32740,8835,23905
170,15,2024-02-01,20913,6369,14544
171,15,2024-03-01,28760,9477,19283
172,15,2024-04-01,21456,16938,4518
173,15,2024-05-01,21094,13966,7128
174,15,2024-06-01,29610,5292,24318
175,15,2024-07-01,19816,7434,12382
176,15,2024-08-01,19480,19092,388
177,15,2024-09-01,30329,19698,10631
178,15,2024-10-01,28307,13811,14496
179,15,2024-11-01,15324,6273,9051
180,15,2024-12-01,19503,18711,792
181,16,2024-01-01,29358,13375,15983
182,16,2024-02-01,22390,13359,9031
183,16,2024-03-01,30949,17381,13568
184,16,2024-04-01,30000,15831,14169
185,16,2024-05-01,15932,10392,5540
186,16,2024-06-01,16726,15040,1686
187,16,2024-07-01,32881,17508,15373
188,16,2024-08-01,21794,12924,8870
189,16,2024-09-01,27382,5447,21935
190,16,2024-10-01,22588,10001,12587
191,16,2024-11-01,16402,6505,9897
192,16,2024-12-01,25629,17816,7813
193,17,2024-01-01,18129,13079,5050
194,17,2024-02-01,19699,10601,9098
195,17,2024-03-01,31201,16285,14916
196,17,2024-04-01,21042,11084,9958
197,17,2024-05-01,32252,18170,14082
198,17,2024-06-01,19686,11647,8039
199,17,2024-07-01,30363,9544,20819
200,17,2024-08-01,25371,11500,13871
201,17,2024-09-01,15295,11883,3412
202,17,2024-10-01,22338,12682,9656
203,17,2024-11-01,20873,17053,3820
204,17,2024-12-01,25288,16070,9218
205,18,2024-01-01,33489,9096,24393
206,18,2024-02-01,15123,11515,3608
207,18,2024-03-01,29813,13724,16089
208,18,2024-04-01,20571,7540,13031
209,18,2024-05-01,25438,16856,8582
210,18,2024-06-01,34221,10859,23362
211,18,2024-07-01,22361,12830,9531
212,18,2024-08-01,23168,6170,16998
213,18,2024-09-01,31905,8972,22933
214,18,2024-10-01,23750,10717,13033
215,18,2024-11-01,27237,10875,16362
216,18,2024-12-01,30872,19001,11871
217,19,2024-01-01,28643,8897,19746
218,19,2024-02-01,31542,16793,14749
219,19,2024-03-01,26498,15188,11310
220,19,2024-04-01,16382,7848,8534
221,19,2024-05-01,15138,6496,8642
222,19,2024-06-01,33285,11608,21677
223,19,2024-07-01,19706,6469,13237
224,19,2024-08-01,34700,10489,24211
225,19,2024-09-01,33893,7080,26813
226,19,2024-10-01,34623,13242,21381
227,19,2024-11-01,20021,11833,8188
228,19,2024-12-01,22140,5882,16258
229,20,2024-01-01,22413,16528,5885
230,20,2024-02-01,28683,5466,23217
231,20,2024-03-01,15764,13684,2080
232,20,2024-04-01,26765,13610,13155
233,20,2024-05-01,34736,13600,21136
234,20,2024-06-01,29404,8815,20589
235,20,2024-07-01,31631,9176,22455
236,20,2024-08-01,28696,14723,13973
237,20,2024-09-01,32154,18723,13431
238,20,2024-10-01,24265,15657,8608
239,20,2024-11-01,19968,13120,6848
240,20,2024-12-01,17165,15810,1355
241,21,2024-01-01,18733,12729,6004
242,21,2024-02-01,34986,18871,16115
243,21,2024-03-01,15022,15892,-870
244,21,2024-04-01,32756,9660,23096
245,21,2024-05-01,30246,7661,22585
246,21,2024-06-01,16267,5345,10922
247,21,2024-07-01,33817,18301,15516
248,21,2024-08-01,22191,12335,9856
249,21,2024-09-01,24415,18806,5609
250,21,2024-10-01,15023,10011,5012
251,21,2024-11-01,32144,6026,26118
252,21,2024-12-01,20074,12599,7475
253,22,2024-01-01,24404,10681,13723
254,22,2024-02-01,22276,18666,3610
255,22,2024-03-01,15291,9684,5607
256,22,2024-04-01,32320,13115,19205
257,22,2024-05-01,26440,6317,20123
258,22,2024-06-01,17713,6122,11591
259,22,2024-07-01,28119,17755,10364
260,22,2024-08-01,21594,19165,2429
261,22,2024-09-01,29100,5168,23932
262,22,2024-10-01,25190,10662,14528
263,22,2024-11-01,27298,18581,8717
264,22,2024-12-01,23523,15285,8238
265,23,2024-01-01,23548,17336,6212
266,23,2024-02-01,24580,11765,12815
267,23,2024-03-01,15739,13436,2303
268,23,2024-04-01,26010,8090,17920
269,23,2024-05-01,23696,17908,5788
270,23,2024-06-01,29346,8884,20462
271,23,2024-07-01,29967,11783,18184
272,23,2024-08-01,27454,10033,17421
273,23,2024-09-01,26654,13110,13544
274,23,2024-10-01,21832,19255,2577
275,23,2024-11-01,16644,13368,3276
276,23,2024-12-01,25087,10261,14826
277,24,2024-01-01,22869,19606,3263
278,24,2024-02-01,15603,19448,-3845
279,24,2024-03-01,28742,17131,11611
280,24,2024-04-01,31420,18643,12777
281,24,2024-05-01,20850,11821,9029
282,24,2024-06-01,18613,19225,-612
283,24,2024-07-01,24876,19460,5416
284,24,2024-08-01,24906,17896,7010
285,24,2024-09-01,29556,19883,9673
286,24,2024-10-01,22101,11703,10398
287,24,2024-11-01,25707,7264,18443
288,24,2024-12-01,15217,7179,8038
289,25,2024-01-01,32209,5864,26345
290,25,2024-02-01,23540,8191,15349
291,25,2024-03-01,31552,10158,21394
292,25,2024-04-01,32948,16758,16190
293,25,2024-05-01,28694,11035,17659
294,25,2024-06-01,23216,18494,4722
295,25,2024-07-01,18423,11464,6959
296,25,2024-08-01,27926,13323,14603
297,25,2024-09-01,23022,6791,16231
298,25,2024-10-01,21705,15306,6399
299,25,2024-11-01,21380,5978,15402
300,25,2024-12-01,21201,14335,6866
