date,description,amount,type,category
2025-06-04,Fuel refill,5394.53,credit,Travel
2025-07-27,Health checkup,5190.39,credit,Health
2025-08-27,Pharmacy purchase,9971.0,credit,Health
2025-06-10,DTH recharge,3691.04,credit,Bills
2025-09-09,Spotify premium,1103.91,debit,Entertainment
2025-08-09,Electronics purchase,6936.51,debit,Shopping
2025-10-18,Water bill,7554.08,credit,Bills
2025-09-17,Doctor visit,2770.03,debit,Health
2025-08-21,Fuel refill,9999.15,debit,Travel
2025-10-12,DTH recharge,8517.82,credit,Bills
2025-10-02,Myntra shopping,7091.68,debit,Shopping
2025-08-05,Zomato delivery,3832.28,debit,Food
2025-09-14,Water bill,1645.09,debit,Bills
2025-07-06,Donation,5994.21,credit,Others
2025-06-17,Doctor visit,2943.66,credit,Health
2025-06-26,Zomato delivery,4476.84,debit,Food
2025-08-16,Swiggy order,4253.86,debit,Food
2025-10-11,Miscellaneous expense,627.86,debit,Others
2025-08-25,Spotify premium,7171.1,credit,Entertainment
2025-07-25,Gift purchase,5436.07,debit,Others
2025-07-10,Miscellaneous expense,3316.75,credit,Others
2025-08-26,Protein supplements,1013.34,credit,Health
2025-07-26,Concert pass,162.29,credit,Entertainment
2025-10-10,DTH recharge,4270.37,debit,Bills
2025-06-08,Bus fare,5254.01,credit,Travel
2025-08-25,McDonald's lunch,3623.43,credit,Food
2025-08-20,Health checkup,9399.41,credit,Health
2025-10-14,Health checkup,3358.17,credit,Health
2025-09-11,Donation,3391.39,debit,Others
2025-08-06,Stationery,8425.7,credit,Others
2025-09-23,Myntra shopping,454.4,debit,Shopping
2025-06-04,DTH recharge,9466.98,debit,Bills
2025-10-05,Ola cab,8442.52,credit,Travel
2025-10-14,Flipkart order,5043.29,debit,Shopping
2025-07-12,Health checkup,3020.61,debit,Health
2025-08-14,Amazon purchase,5432.88,debit,Shopping
2025-08-29,Donation,6225.09,debit,Others
2025-06-27,Pharmacy purchase,4636.49,credit,Health
2025-06-26,Flight booking,6479.48,credit,Travel
2025-06-24,Miscellaneous expense,5497.99,debit,Others
2025-06-18,Movie ticket,279.71,debit,Entertainment
2025-07-19,Flipkart order,1060.8,credit,Shopping
2025-07-01,Protein supplements,1375.56,credit,Health
2025-09-04,Netflix subscription,8111.24,debit,Entertainment
2025-10-12,Ola cab,9952.25,credit,Travel
2025-08-23,Protein supplements,2758.23,debit,Health
2025-07-06,Gym membership,4842.93,debit,Health
2025-06-30,McDonald's lunch,9072.15,credit,Food
2025-06-17,Gift purchase,3094.61,debit,Others
2025-08-03,Flipkart order,5651.7,debit,Shopping
2025-07-29,Grocery store,7773.34,debit,Shopping
2025-10-01,Miscellaneous expense,3867.27,credit,Others
2025-08-13,Train ticket,4464.07,credit,Travel
2025-07-31,Gift purchase,6001.53,debit,Others
2025-10-05,Amazon purchase,5637.8,debit,Shopping
2025-06-26,Doctor visit,1409.93,debit,Health
2025-08-18,Domino's pizza,2797.33,debit,Food
2025-10-10,Gift purchase,4775.1,credit,Others
2025-08-02,Zomato delivery,8218.38,debit,Food
2025-09-01,Movie ticket,9780.69,debit,Entertainment
2025-06-24,Flipkart order,4814.4,debit,Shopping
2025-09-24,Grocery store,1757.22,credit,Shopping
2025-08-29,Netflix subscription,800.2,credit,Entertainment
2025-08-02,Miscellaneous expense,6586.84,credit,Others
2025-07-04,Uber ride,8732.72,credit,Travel
2025-07-17,Movie ticket,6172.47,debit,Entertainment
2025-06-11,Flight booking,6303.78,credit,Travel
2025-06-27,Gym membership,4298.01,credit,Health
2025-07-14,Stationery,4685.4,credit,Others
2025-08-19,Amusement park,675.05,credit,Entertainment
2025-10-04,Fuel refill,1789.11,debit,Travel
2025-09-27,Electricity bill,5101.6,credit,Bills
2025-10-15,Flight booking,4260.27,debit,Travel
2025-08-20,Bus fare,2390.98,credit,Travel
2025-10-28,Concert pass,8323.94,credit,Entertainment
2025-06-05,Fuel refill,3472.51,debit,Travel
2025-09-04,Stationery,7864.33,debit,Others
2025-07-21,Electricity bill,3963.57,credit,Bills
2025-07-30,Uber ride,8385.44,credit,Travel
2025-09-19,Doctor visit,9577.41,debit,Health
2025-07-15,Miscellaneous expense,8663.26,credit,Others
2025-06-25,Fuel refill,723.96,debit,Travel
2025-08-08,Restaurant dinner,5645.0,credit,Food
2025-08-26,Water bill,7401.63,debit,Bills
2025-10-22,Amazon purchase,3725.0,credit,Shopping
2025-09-05,Donation,4419.32,credit,Others
2025-07-29,Uber ride,722.0,credit,Travel
2025-09-16,Doctor visit,9914.39,debit,Health
2025-09-09,Health checkup,951.34,debit,Health
2025-10-23,Water bill,1628.77,debit,Bills
2025-09-01,Bus fare,8183.37,credit,Travel
2025-07-19,Electricity bill,3430.64,credit,Bills
2025-08-18,Spotify premium,4692.0,credit,Entertainment
2025-06-29,Health checkup,6027.93,credit,Health
2025-08-30,Flight booking,7211.83,credit,Travel
2025-06-20,Donation,1172.55,credit,Others
2025-06-19,Netflix subscription,4876.81,debit,Entertainment
2025-08-22,Ola cab,561.9,debit,Travel
2025-08-02,Spotify premium,167.81,debit,Entertainment
2025-09-19,Grocery store,1390.73,credit,Shopping
2025-06-06,Restaurant dinner,7051.12,credit,Food
2025-10-15,Zomato delivery,1034.66,credit,Food
2025-09-26,Mobile bill,9279.75,credit,Bills
2025-06-19,Health checkup,1421.78,debit,Health
2025-07-20,Bus fare,5755.99,debit,Travel
2025-09-09,Netflix subscription,7037.79,credit,Entertainment
2025-08-30,Cafe coffee,5535.16,debit,Food
2025-06-10,Bus fare,8643.02,debit,Travel
2025-07-10,Amazon purchase,118.96,debit,Shopping
2025-06-01,McDonald's lunch,3798.12,credit,Food
2025-09-20,Health checkup,797.2,credit,Health
2025-09-21,Grocery store,1428.54,credit,Shopping
2025-10-01,Doctor visit,5171.54,credit,Health
2025-10-25,Uber ride,8831.67,debit,Travel
2025-09-27,Mobile bill,9243.52,credit,Bills
2025-10-03,McDonald's lunch,6696.46,credit,Food
2025-07-25,DTH recharge,2177.89,credit,Bills
2025-07-07,Internet recharge,9042.14,debit,Bills
2025-08-02,Protein supplements,1656.05,debit,Health
2025-07-25,Gym membership,5577.03,debit,Health
2025-10-18,Concert pass,1137.12,debit,Entertainment
2025-08-24,Protein supplements,3324.14,credit,Health
2025-07-05,Netflix subscription,4614.03,credit,Entertainment
2025-09-11,Pharmacy purchase,3549.13,debit,Health
2025-07-18,Myntra shopping,5757.12,debit,Shopping
2025-06-01,Doctor visit,3401.63,debit,Health
2025-09-14,Netflix subscription,4930.09,credit,Entertainment
2025-06-02,Myntra shopping,792.0,credit,Shopping
2025-06-01,Internet recharge,8274.28,debit,Bills
2025-07-07,Protein supplements,6559.71,debit,Health
2025-10-19,Bus fare,8816.2,credit,Travel
2025-10-22,Miscellaneous expense,7750.64,debit,Others
2025-07-23,Uber ride,1592.44,credit,Travel
2025-06-25,Cafe coffee,4076.35,credit,Food
2025-10-02,Spotify premium,4815.9,debit,Entertainment
2025-08-12,Gift purchase,4066.14,credit,Others
2025-09-05,Flipkart order,8434.24,debit,Shopping
2025-06-23,McDonald's lunch,4156.89,credit,Food
2025-10-14,Electricity bill,2220.35,credit,Bills
2025-07-01,Gift purchase,821.02,credit,Others
2025-08-03,Domino's pizza,4237.16,credit,Food
2025-10-19,Concert pass,3606.83,debit,Entertainment
2025-07-22,Pharmacy purchase,3214.94,credit,Health
2025-10-20,DTH recharge,6521.34,credit,Bills
2025-10-15,Restaurant dinner,3412.19,credit,Food
2025-10-23,Bus fare,9606.31,debit,Travel
2025-08-12,Swiggy order,130.91,credit,Food
2025-10-28,Donation,5262.94,debit,Others
2025-10-19,Flipkart order,7211.95,credit,Shopping
2025-06-11,Fuel refill,7608.29,credit,Travel
2025-08-31,Internet recharge,9157.53,credit,Bills
2025-07-02,Water bill,2866.92,credit,Bills
2025-06-19,Concert pass,7063.33,debit,Entertainment
2025-06-13,Stationery,1743.39,debit,Others
2025-10-02,Stationery,94.13,credit,Others
2025-09-11,DTH recharge,6403.61,credit,Bills
2025-07-13,Stationery,4245.93,credit,Others
2025-08-11,Gift purchase,8238.15,debit,Others
2025-08-21,Movie ticket,5709.58,credit,Entertainment
2025-10-20,Amazon purchase,9679.42,debit,Shopping
2025-07-25,Gift purchase,1425.73,credit,Others
2025-09-21,Train ticket,9456.55,debit,Travel
2025-10-17,McDonald's lunch,4279.42,credit,Food
2025-10-12,Health checkup,2075.66,debit,Health
2025-08-22,Stationery,2427.63,credit,Others
2025-09-13,McDonald's lunch,4983.17,credit,Food
2025-09-04,Netflix subscription,9830.68,debit,Entertainment
2025-09-21,Cafe coffee,7501.42,credit,Food
2025-09-27,Electricity bill,718.31,credit,Bills
2025-09-02,Health checkup,4164.43,credit,Health
2025-09-29,Train ticket,8433.14,debit,Travel
2025-07-10,Miscellaneous expense,2063.02,debit,Others
2025-10-13,Cafe coffee,3229.29,debit,Food
2025-06-10,Movie ticket,7231.45,debit,Entertainment
2025-06-23,Miscellaneous expense,8211.05,debit,Others
2025-10-08,Netflix subscription,6694.42,credit,Entertainment
2025-08-17,Cafe coffee,131.19,debit,Food
2025-06-04,Electronics purchase,5559.85,debit,Shopping
2025-07-28,Zomato delivery,3946.62,credit,Food
2025-08-15,Swiggy order,573.72,credit,Food
2025-10-15,Train ticket,7607.91,debit,Travel
2025-06-20,Netflix subscription,382.41,credit,Entertainment
2025-10-18,Grocery store,6826.59,debit,Shopping
2025-08-21,Miscellaneous expense,5638.55,debit,Others
2025-09-16,Movie ticket,8281.37,credit,Entertainment
2025-09-22,Spotify premium,945.54,debit,Entertainment
2025-07-04,Zomato delivery,8900.81,credit,Food
2025-09-22,Zomato delivery,5834.11,debit,Food
2025-07-05,Health checkup,3283.69,debit,Health
2025-07-31,Grocery store,9791.13,credit,Shopping
2025-07-08,Doctor visit,6440.45,debit,Health
2025-08-10,Amusement park,4631.06,debit,Entertainment
2025-09-08,Myntra shopping,6215.39,credit,Shopping
2025-09-13,Zomato delivery,8557.25,debit,Food
2025-06-06,Train ticket,2966.02,credit,Travel
2025-07-22,Flipkart order,2550.56,debit,Shopping
2025-06-11,Uber ride,2604.31,debit,Travel
2025-06-01,Gift purchase,9567.81,credit,Others
2025-06-01,Ola cab,6188.86,credit,Travel
2025-06-30,Doctor visit,9907.08,credit,Health
2025-08-20,McDonald's lunch,7327.71,debit,Food
2025-06-20,Gift purchase,4957.5,debit,Others
2025-10-13,Miscellaneous expense,7173.96,credit,Others
2025-09-09,Amazon purchase,9502.5,credit,Shopping
2025-10-08,Gift purchase,8082.16,debit,Others
2025-10-17,Restaurant dinner,9134.35,credit,Food
2025-06-22,Internet recharge,1344.87,credit,Bills
2025-09-15,Flight booking,9483.17,debit,Travel
2025-09-23,Gym membership,7197.23,credit,Health
2025-07-07,Water bill,8715.64,credit,Bills
2025-06-28,Gift purchase,9511.46,debit,Others
2025-06-12,Movie ticket,8159.27,debit,Entertainment
2025-08-12,Protein supplements,6318.56,credit,Health
2025-06-11,Doctor visit,3778.4,debit,Health
2025-07-29,Mobile bill,4078.1,credit,Bills
2025-09-14,Miscellaneous expense,8579.94,debit,Others
2025-08-23,DTH recharge,8387.64,credit,Bills
2025-09-03,Cafe coffee,688.57,debit,Food
2025-08-06,Stationery,9177.31,credit,Others
2025-06-28,Fuel refill,4896.65,debit,Travel
2025-06-12,Ola cab,7499.02,debit,Travel
2025-08-05,Gift purchase,6074.83,credit,Others
2025-06-26,Flipkart order,1112.78,debit,Shopping
2025-07-10,Domino's pizza,8995.84,credit,Food
2025-08-27,Cafe coffee,1152.52,credit,Food
2025-08-25,Bus fare,1047.42,credit,Travel
2025-07-21,Restaurant dinner,1073.24,debit,Food
2025-06-19,Concert pass,4488.42,credit,Entertainment
2025-07-11,DTH recharge,6209.49,debit,Bills
2025-10-11,Health checkup,3135.52,credit,Health
2025-09-07,Fuel refill,2918.37,debit,Travel
2025-08-24,Amazon purchase,4150.11,credit,Shopping
2025-10-25,McDonald's lunch,3712.71,debit,Food
2025-10-13,Train ticket,4428.48,debit,Travel
2025-09-20,Donation,1910.71,credit,Others
2025-07-26,DTH recharge,3654.77,debit,Bills
2025-06-28,Train ticket,9109.53,credit,Travel
2025-08-27,Electronics purchase,7799.24,credit,Shopping
2025-08-16,Doctor visit,5295.98,debit,Health
2025-09-03,Concert pass,6487.47,debit,Entertainment
2025-07-21,Myntra shopping,4733.66,credit,Shopping
2025-06-13,Ola cab,5055.29,credit,Travel
2025-07-03,Miscellaneous expense,8139.21,debit,Others
2025-07-24,Amazon purchase,7596.88,debit,Shopping
2025-09-22,Flipkart order,3273.3,credit,Shopping
2025-06-17,Electronics purchase,5088.9,credit,Shopping
2025-09-01,Train ticket,1537.31,debit,Travel
2025-09-23,Donation,5514.56,credit,Others
2025-10-18,Train ticket,2163.36,debit,Travel
2025-07-02,Amazon purchase,4736.14,credit,Shopping
2025-08-16,Restaurant dinner,1449.31,credit,Food
2025-09-02,Flight booking,8234.71,credit,Travel
2025-08-12,Gift purchase,2312.63,credit,Others
2025-10-08,Domino's pizza,7596.19,credit,Food
2025-06-29,Stationery,4759.79,debit,Others
2025-07-30,Cafe coffee,446.31,credit,Food
2025-10-01,Pharmacy purchase,9716.54,debit,Health
2025-09-16,Zomato delivery,6451.23,credit,Food
2025-10-25,Fuel refill,5610.34,debit,Travel
2025-10-03,Swiggy order,2191.83,debit,Food
2025-10-04,Concert pass,5297.07,credit,Entertainment
2025-07-27,Myntra shopping,3294.14,credit,Shopping
2025-08-21,Gym membership,2096.5,credit,Health
2025-10-04,DTH recharge,2282.43,credit,Bills
2025-06-08,Doctor visit,5095.87,debit,Health
2025-08-26,McDonald's lunch,141.15,debit,Food
2025-10-13,Concert pass,1362.4,credit,Entertainment
2025-07-22,Electronics purchase,1033.94,debit,Shopping
2025-07-19,Spotify premium,9430.06,credit,Entertainment
2025-10-27,Grocery store,1774.09,credit,Shopping
2025-10-19,McDonald's lunch,752.76,debit,Food
2025-09-21,Doctor visit,1612.9,debit,Health
2025-09-22,Mobile bill,1844.71,debit,Bills
2025-06-13,Electricity bill,1901.79,debit,Bills
2025-08-19,Swiggy order,8691.95,credit,Food
2025-06-11,Swiggy order,9755.44,credit,Food
2025-08-05,Protein supplements,3933.85,credit,Health
2025-10-21,McDonald's lunch,1017.95,debit,Food
2025-06-05,Electricity bill,9390.61,debit,Bills
2025-06-05,Amusement park,875.82,debit,Entertainment
2025-06-23,Mobile bill,295.65,debit,Bills
2025-08-25,Netflix subscription,9340.88,debit,Entertainment
2025-06-26,Netflix subscription,7225.26,credit,Entertainment
2025-06-30,Flipkart order,5860.42,credit,Shopping
2025-09-05,Internet recharge,7684.78,credit,Bills
2025-09-17,Health checkup,4237.49,credit,Health
2025-10-01,Stationery,8335.31,credit,Others
2025-10-27,Grocery store,3372.05,credit,Shopping
2025-06-24,Netflix subscription,8100.07,debit,Entertainment
2025-10-21,DTH recharge,362.98,credit,Bills
2025-09-23,Train ticket,9975.0,debit,Travel
2025-10-25,McDonald's lunch,6468.48,credit,Food
2025-06-15,Movie ticket,4269.39,debit,Entertainment
2025-10-05,Mobile bill,1591.54,debit,Bills
2025-06-25,Protein supplements,3976.04,debit,Health
2025-10-25,Spotify premium,1496.44,debit,Entertainment
2025-06-29,Electronics purchase,7735.04,debit,Shopping
2025-08-06,Train ticket,6438.8,debit,Travel
2025-07-27,Spotify premium,1286.02,debit,Entertainment
2025-06-30,DTH recharge,2840.17,debit,Bills
2025-10-28,Gift purchase,6838.93,debit,Others
2025-07-07,Swiggy order,7670.73,debit,Food
2025-06-20,Zomato delivery,5576.6,debit,Food
2025-08-05,Gym membership,301.19,debit,Health
2025-07-12,Grocery store,4846.82,debit,Shopping
2025-10-08,Amazon purchase,3156.6,credit,Shopping
2025-07-14,Myntra shopping,2747.28,debit,Shopping
2025-08-25,Train ticket,9435.66,debit,Travel
2025-10-06,Amusement park,2175.12,credit,Entertainment
2025-07-15,Water bill,8998.6,debit,Bills
2025-09-02,Stationery,4300.84,credit,Others
2025-08-30,Miscellaneous expense,3089.6,debit,Others
2025-07-02,Concert pass,53.35,debit,Entertainment
2025-08-25,Train ticket,1944.62,debit,Travel
2025-10-14,Grocery store,8829.43,credit,Shopping
2025-08-01,Concert pass,5517.4,debit,Entertainment
2025-10-15,Health checkup,9654.02,debit,Health
2025-09-28,Donation,526.45,credit,Others
2025-06-26,Water bill,1017.3,debit,Bills
2025-06-15,Doctor visit,2343.18,debit,Health
2025-09-18,Flipkart order,4098.35,credit,Shopping
2025-10-07,Myntra shopping,2434.66,debit,Shopping
2025-07-21,Zomato delivery,8136.57,debit,Food
2025-09-18,Zomato delivery,627.27,debit,Food
2025-06-23,Myntra shopping,420.63,debit,Shopping
2025-10-15,Amazon purchase,1023.44,credit,Shopping
2025-06-29,Health checkup,7561.13,credit,Health
2025-07-28,Fuel refill,8789.95,credit,Travel
2025-07-29,Cafe coffee,1097.36,credit,Food
2025-08-31,Water bill,6251.86,debit,Bills
2025-07-29,Water bill,336.67,credit,Bills
2025-06-21,Doctor visit,5507.43,credit,Health
2025-06-16,Donation,5355.94,credit,Others
2025-07-04,Doctor visit,371.25,credit,Health
2025-07-24,Ola cab,4798.77,credit,Travel
2025-10-05,Protein supplements,4438.06,debit,Health
2025-08-11,Fuel refill,7575.78,debit,Travel
2025-09-20,Gift purchase,3609.62,credit,Others
2025-09-14,Electricity bill,6119.13,credit,Bills
2025-09-23,Internet recharge,3767.22,credit,Bills
2025-06-15,Flight booking,2453.36,debit,Travel
2025-09-05,Donation,4431.74,credit,Others
2025-09-20,Myntra shopping,7387.48,debit,Shopping
2025-09-26,Stationery,3374.03,credit,Others
2025-06-30,Cafe coffee,5769.52,debit,Food
2025-09-26,Domino's pizza,8051.57,credit,Food
2025-08-27,Internet recharge,6751.56,debit,Bills
2025-10-07,Miscellaneous expense,9836.49,debit,Others
2025-08-25,Domino's pizza,876.22,debit,Food
2025-07-04,Domino's pizza,1441.44,debit,Food
2025-10-24,Concert pass,2493.95,debit,Entertainment
2025-08-27,Myntra shopping,7085.65,credit,Shopping
2025-10-04,DTH recharge,3549.89,credit,Bills
2025-07-02,Domino's pizza,7630.59,debit,Food
2025-09-29,Concert pass,3378.92,debit,Entertainment
2025-06-14,Amazon purchase,1092.52,debit,Shopping
2025-07-31,Swiggy order,8656.29,credit,Food
2025-07-24,Netflix subscription,6605.22,credit,Entertainment
2025-07-26,DTH recharge,5019.81,credit,Bills
2025-07-20,Restaurant dinner,7937.63,debit,Food
2025-07-22,Gift purchase,6259.4,debit,Others
2025-10-04,Uber ride,6427.28,credit,Travel
2025-06-18,Donation,2711.12,credit,Others
2025-07-01,Myntra shopping,8317.97,debit,Shopping
2025-07-19,Ola cab,1822.2,credit,Travel
2025-08-11,Electronics purchase,2468.04,credit,Shopping
2025-08-01,McDonald's lunch,372.09,debit,Food
2025-07-15,Train ticket,5268.43,debit,Travel
2025-08-08,Pharmacy purchase,5861.02,credit,Health
2025-09-03,Domino's pizza,8014.78,credit,Food
2025-08-27,Cafe coffee,9911.89,debit,Food
2025-06-04,Netflix subscription,8186.58,debit,Entertainment
2025-09-06,Pharmacy purchase,4589.01,credit,Health
2025-08-28,Health checkup,4836.83,credit,Health
2025-09-29,Grocery store,1667.52,debit,Shopping
2025-10-24,Fuel refill,491.44,debit,Travel
2025-06-23,Stationery,2495.76,debit,Others
2025-08-26,Electronics purchase,4056.31,credit,Shopping
2025-09-09,Protein supplements,7652.81,credit,Health
2025-08-14,Bus fare,302.52,credit,Travel
2025-10-21,Movie ticket,9141.16,debit,Entertainment
2025-07-22,Grocery store,6018.26,debit,Shopping
2025-10-22,Cafe coffee,8371.25,debit,Food
2025-09-04,Netflix subscription,589.87,credit,Entertainment
2025-09-10,Flight booking,6575.0,debit,Travel
2025-08-27,Gym membership,2685.48,debit,Health
2025-09-13,Electronics purchase,1464.08,debit,Shopping
2025-10-27,Mobile bill,2445.56,credit,Bills
2025-07-18,Gym membership,6098.26,credit,Health
2025-08-16,Spotify premium,1381.73,credit,Entertainment
2025-09-30,Water bill,736.97,credit,Bills
2025-09-28,Netflix subscription,5454.99,debit,Entertainment
2025-06-25,Flight booking,1805.83,credit,Travel
2025-09-27,Mobile bill,4855.66,debit,Bills
2025-09-06,Movie ticket,3293.07,debit,Entertainment
2025-08-28,Amusement park,8988.44,credit,Entertainment
2025-10-12,Cafe coffee,6218.77,debit,Food
2025-08-15,DTH recharge,7073.47,debit,Bills
2025-10-06,Electronics purchase,1303.79,credit,Shopping
2025-09-04,Protein supplements,1554.35,debit,Health
2025-10-19,McDonald's lunch,6626.55,debit,Food
2025-08-09,Spotify premium,7877.33,debit,Entertainment
2025-08-04,Stationery,8024.95,debit,Others
2025-07-08,Zomato delivery,3599.44,credit,Food
2025-06-22,Pharmacy purchase,2261.17,debit,Health
2025-08-06,Internet recharge,3630.47,debit,Bills
2025-09-10,Internet recharge,7965.84,credit,Bills
2025-09-02,McDonald's lunch,213.97,debit,Food
2025-06-25,Gym membership,3594.19,credit,Health
2025-09-11,Swiggy order,3486.4,debit,Food
2025-10-27,Netflix subscription,4813.41,credit,Entertainment
2025-08-17,Health checkup,8166.95,debit,Health
2025-07-02,Electronics purchase,5922.14,debit,Shopping
2025-08-15,Doctor visit,4945.34,credit,Health
2025-07-12,Internet recharge,6734.7,debit,Bills
2025-09-28,Water bill,7130.13,credit,Bills
2025-07-09,Gift purchase,7904.77,debit,Others
2025-06-10,Spotify premium,1861.52,credit,Entertainment
2025-06-26,Zomato delivery,9491.08,debit,Food
2025-06-02,Ola cab,7479.9,debit,Travel
2025-07-26,Gift purchase,4675.09,credit,Others
2025-10-19,DTH recharge,6406.69,debit,Bills
2025-07-11,DTH recharge,2501.88,debit,Bills
2025-07-10,Stationery,1033.42,debit,Others
2025-08-24,Ola cab,7745.39,debit,Travel
2025-06-14,Uber ride,1148.22,credit,Travel
2025-09-23,Doctor visit,4997.44,debit,Health
2025-10-11,Myntra shopping,6470.71,debit,Shopping
2025-10-13,Fuel refill,3511.66,credit,Travel
2025-09-27,Swiggy order,3401.84,credit,Food
2025-10-18,Gym membership,4488.45,debit,Health
2025-07-28,Health checkup,8603.65,debit,Health
2025-07-26,DTH recharge,409.62,credit,Bills
2025-09-21,Concert pass,1196.01,debit,Entertainment
2025-10-15,Domino's pizza,1820.82,debit,Food
2025-09-08,Zomato delivery,772.58,credit,Food
2025-10-20,Stationery,2075.35,debit,Others
2025-09-08,Uber ride,7487.63,credit,Travel
2025-07-06,Amusement park,4494.0,debit,Entertainment
2025-06-07,Gym membership,6438.09,credit,Health
2025-10-21,Health checkup,6368.74,credit,Health
2025-09-21,Gym membership,117.6,debit,Health
2025-08-13,Stationery,9040.51,debit,Others
2025-07-02,Bus fare,6944.59,debit,Travel
2025-08-12,Amazon purchase,4657.53,credit,Shopping
2025-10-04,Bus fare,1367.75,debit,Travel
2025-06-14,Concert pass,2239.89,credit,Entertainment
2025-06-09,Gym membership,6759.83,credit,Health
2025-07-22,Mobile bill,5541.93,credit,Bills
2025-06-14,Bus fare,2109.12,debit,Travel
2025-08-09,Zomato delivery,9594.56,credit,Food
2025-08-28,Uber ride,5118.89,debit,Travel
2025-10-13,Amusement park,3644.06,debit,Entertainment
2025-10-18,Amazon purchase,4698.75,credit,Shopping
2025-07-26,Amusement park,1307.22,credit,Entertainment
2025-09-28,Doctor visit,5546.85,debit,Health
2025-07-31,Internet recharge,8100.48,credit,Bills
2025-07-18,Train ticket,6619.95,credit,Travel
2025-08-21,Gym membership,624.26,debit,Health
2025-10-18,Ola cab,8825.98,credit,Travel
2025-07-24,Protein supplements,5685.79,credit,Health
2025-08-21,Electricity bill,5294.18,credit,Bills
2025-06-05,Grocery store,9181.87,credit,Shopping
2025-09-19,Train ticket,520.79,debit,Travel
2025-09-18,Stationery,3177.49,debit,Others
2025-06-11,Train ticket,395.6,credit,Travel
2025-08-02,Mobile bill,680.08,credit,Bills
2025-08-06,Amazon purchase,3257.08,credit,Shopping
2025-06-07,Myntra shopping,473.51,debit,Shopping
2025-08-02,Fuel refill,9374.75,debit,Travel
2025-06-05,Pharmacy purchase,8130.93,credit,Health
2025-06-20,Domino's pizza,6482.37,debit,Food
2025-10-15,Grocery store,1648.16,credit,Shopping
2025-06-08,Water bill,5456.97,credit,Bills
2025-06-20,Amazon purchase,737.63,credit,Shopping
2025-10-14,Uber ride,881.66,credit,Travel
2025-07-24,Zomato delivery,9558.93,debit,Food
2025-08-28,Fuel refill,8859.85,credit,Travel
2025-10-03,Gift purchase,1271.29,debit,Others
2025-09-19,Water bill,3310.56,credit,Bills
2025-06-17,Netflix subscription,1041.71,debit,Entertainment
2025-07-03,Concert pass,2942.73,credit,Entertainment
2025-06-25,Mobile bill,6783.21,credit,Bills
2025-06-05,Fuel refill,2516.63,credit,Travel
2025-10-27,Mobile bill,3357.39,credit,Bills
2025-08-29,Flipkart order,6154.34,debit,Shopping
2025-06-13,Concert pass,9438.92,debit,Entertainment
2025-06-03,Doctor visit,4867.94,credit,Health
2025-06-29,Flight booking,4047.66,debit,Travel
2025-06-05,Cafe coffee,4232.63,credit,Food
