date,description,amount,type,category
2025-07-17,movie ticket,6172.47,1,entertainment
2025-06-11,flight booking,6303.78,0,travel
2025-06-27,gym membership,4298.01,0,health
2025-07-14,stationery,4685.4,0,others
2025-08-19,amusement park,675.05,0,entertainment
2025-10-04,fuel refill,1789.11,1,travel
2025-09-27,electricity bill,5101.6,0,bills
2025-10-15,flight booking,4260.27,1,travel
2025-08-20,bus fare,2390.98,0,travel
2025-10-28,concert pass,8323.94,0,entertainment
2025-06-05,fuel refill,3472.51,1,travel
2025-09-04,stationery,7864.33,1,others
2025-07-21,electricity bill,3963.57,0,bills
2025-07-30,uber ride,8385.44,0,travel
2025-09-19,doctor visit,9577.41,1,health
2025-07-15,miscellaneous expense,8663.26,0,others
2025-06-25,fuel refill,723.96,1,travel
2025-08-08,restaurant dinner,5645.0,0,food
2025-08-26,water bill,7401.63,1,bills
2025-10-22,amazon purchase,3725.0,0,shopping
2025-09-05,donation,4419.32,0,others
2025-07-29,uber ride,722.0,0,travel
2025-09-16,doctor visit,9914.39,1,health
2025-09-09,health checkup,951.34,1,health
2025-10-23,water bill,1628.77,1,bills
2025-09-01,bus fare,8183.37,0,travel
2025-07-19,electricity bill,3430.64,0,bills
2025-08-18,spotify premium,4692.0,0,entertainment
2025-06-29,health checkup,6027.93,0,health
2025-08-30,flight booking,7211.83,0,travel
2025-06-20,donation,1172.55,0,others
2025-06-19,netflix subscription,4876.81,1,entertainment
2025-08-22,ola cab,561.9,1,travel
2025-08-02,spotify premium,167.81,1,entertainment
2025-09-19,grocery store,1390.73,0,shopping
2025-06-06,restaurant dinner,7051.12,0,food
2025-10-15,zomato delivery,1034.66,0,food
2025-09-26,mobile bill,9279.75,0,bills
2025-06-19,health checkup,1421.78,1,health
2025-07-20,bus fare,5755.99,1,travel
2025-09-09,netflix subscription,7037.79,0,entertainment
2025-08-30,cafe coffee,5535.16,1,food
2025-06-10,bus fare,8643.02,1,travel
2025-07-10,amazon purchase,118.96,1,shopping
2025-06-01,mcdonalds lunch,3798.12,0,food
2025-09-20,health checkup,797.2,0,health
2025-09-21,grocery store,1428.54,0,shopping
2025-10-01,doctor visit,5171.54,0,health
2025-10-25,uber ride,8831.67,1,travel
2025-09-27,mobile bill,9243.52,0,bills
2025-10-03,mcdonalds lunch,6696.46,0,food
2025-07-25,dth recharge,2177.89,0,bills
2025-07-07,internet recharge,9042.14,1,bills
2025-08-02,protein supplements,1656.05,1,health
2025-07-25,gym membership,5577.03,1,health
2025-10-18,concert pass,1137.12,1,entertainment
2025-08-24,protein supplements,3324.14,0,health
2025-07-05,netflix subscription,4614.03,0,entertainment
2025-09-11,pharmacy purchase,3549.13,1,health
2025-07-18,myntra shopping,5757.12,1,shopping
2025-06-01,doctor visit,3401.63,1,health
2025-09-14,netflix subscription,4930.09,0,entertainment
2025-06-02,myntra shopping,792.0,0,shopping
2025-06-01,internet recharge,8274.28,1,bills
2025-07-07,protein supplements,6559.71,1,health
2025-10-19,bus fare,8816.2,0,travel
2025-10-22,miscellaneous expense,7750.64,1,others
2025-07-23,uber ride,1592.44,0,travel
2025-06-25,cafe coffee,4076.35,0,food
2025-10-02,spotify premium,4815.9,1,entertainment
2025-08-12,gift purchase,4066.14,0,others
2025-09-05,flipkart order,8434.24,1,shopping
2025-06-23,mcdonalds lunch,4156.89,0,food
2025-10-14,electricity bill,2220.35,0,bills
2025-07-01,gift purchase,821.02,0,others
2025-08-03,dominos pizza,4237.16,0,food
2025-10-19,concert pass,3606.83,1,entertainment
2025-07-22,pharmacy purchase,3214.94,0,health
2025-10-20,dth recharge,6521.34,0,bills
2025-10-15,restaurant dinner,3412.19,0,food
2025-10-23,bus fare,9606.31,1,travel
2025-08-12,swiggy order,130.91,0,food
2025-10-28,donation,5262.94,1,others
2025-10-19,flipkart order,7211.95,0,shopping
2025-06-11,fuel refill,7608.29,0,travel
2025-08-31,internet recharge,9157.53,0,bills
2025-07-02,water bill,2866.92,0,bills
2025-06-19,concert pass,7063.33,1,entertainment
2025-06-13,stationery,1743.39,1,others
2025-10-02,stationery,94.13,0,others
2025-09-11,dth recharge,6403.61,0,bills
2025-07-13,stationery,4245.93,0,others
2025-08-11,gift purchase,8238.15,1,others
2025-08-21,movie ticket,5709.58,0,entertainment
2025-10-20,amazon purchase,9679.42,1,shopping
2025-07-25,gift purchase,1425.73,0,others
2025-09-21,train ticket,9456.55,1,travel
2025-10-17,mcdonalds lunch,4279.42,0,food
2025-10-12,health checkup,2075.66,1,health
2025-08-22,stationery,2427.63,0,others
2025-09-13,mcdonalds lunch,4983.17,0,food
2025-09-04,netflix subscription,9830.68,1,entertainment
2025-09-21,cafe coffee,7501.42,0,food
2025-09-27,electricity bill,718.31,0,bills
2025-09-02,health checkup,4164.43,0,health
2025-09-29,train ticket,8433.14,1,travel
2025-07-10,miscellaneous expense,2063.02,1,others
2025-10-13,cafe coffee,3229.29,1,food
2025-06-10,movie ticket,7231.45,1,entertainment
2025-06-23,miscellaneous expense,8211.05,1,others
2025-10-08,netflix subscription,6694.42,0,entertainment
2025-08-17,cafe coffee,131.19,1,food
2025-06-04,electronics purchase,5559.85,1,shopping
2025-07-28,zomato delivery,3946.62,0,food
2025-08-15,swiggy order,573.72,0,food
2025-10-15,train ticket,7607.91,1,travel
2025-06-20,netflix subscription,382.41,0,entertainment
2025-10-18,grocery store,6826.59,1,shopping
2025-08-21,miscellaneous expense,5638.55,1,others
2025-09-16,movie ticket,8281.37,0,entertainment
2025-09-22,spotify premium,945.54,1,entertainment
2025-07-04,zomato delivery,8900.81,0,food
2025-09-22,zomato delivery,5834.11,1,food
2025-07-05,health checkup,3283.69,1,health
2025-07-31,grocery store,9791.13,0,shopping
2025-07-08,doctor visit,6440.45,1,health
2025-08-10,amusement park,4631.06,1,entertainment
2025-09-08,myntra shopping,6215.39,0,shopping
2025-09-13,zomato delivery,8557.25,1,food
2025-06-06,train ticket,2966.02,0,travel
2025-07-22,flipkart order,2550.56,1,shopping
2025-06-11,uber ride,2604.31,1,travel
2025-06-01,gift purchase,9567.81,0,others
2025-06-01,ola cab,6188.86,0,travel
2025-06-30,doctor visit,9907.08,0,health
2025-08-20,mcdonalds lunch,7327.71,1,food
2025-06-20,gift purchase,4957.5,1,others
2025-10-13,miscellaneous expense,7173.96,0,others
2025-09-09,amazon purchase,9502.5,0,shopping
2025-10-08,gift purchase,8082.16,1,others
2025-10-17,restaurant dinner,9134.35,0,food
2025-06-22,internet recharge,1344.87,0,bills
2025-09-15,flight booking,9483.17,1,travel
2025-09-23,gym membership,7197.23,0,health
2025-07-07,water bill,8715.64,0,bills
2025-06-28,gift purchase,9511.46,1,others
2025-06-12,movie ticket,8159.27,1,entertainment
2025-08-12,protein supplements,6318.56,0,health
2025-06-11,doctor visit,3778.4,1,health
2025-07-29,mobile bill,4078.1,0,bills
2025-09-14,miscellaneous expense,8579.94,1,others
2025-08-23,dth recharge,8387.64,0,bills
2025-09-03,cafe coffee,688.57,1,food
2025-08-06,stationery,9177.31,0,others
2025-06-28,fuel refill,4896.65,1,travel
2025-06-12,ola cab,7499.02,1,travel
2025-08-05,gift purchase,6074.83,0,others
2025-06-26,flipkart order,1112.78,1,shopping
2025-07-10,dominos pizza,8995.84,0,food
2025-08-27,cafe coffee,1152.52,0,food
2025-08-25,bus fare,1047.42,0,travel
2025-07-21,restaurant dinner,1073.24,1,food
2025-06-19,concert pass,4488.42,0,entertainment
2025-07-11,dth recharge,6209.49,1,bills
2025-10-11,health checkup,3135.52,0,health
2025-09-07,fuel refill,2918.37,1,travel
2025-08-24,amazon purchase,4150.11,0,shopping
2025-10-25,mcdonalds lunch,3712.71,1,food
2025-10-13,train ticket,4428.48,1,travel
2025-09-20,donation,1910.71,0,others
2025-07-26,dth recharge,3654.77,1,bills
2025-06-28,train ticket,9109.53,0,travel
2025-08-27,electronics purchase,7799.24,0,shopping
2025-08-16,doctor visit,5295.98,1,health
2025-09-03,concert pass,6487.47,1,entertainment
2025-07-21,myntra shopping,4733.66,0,shopping
2025-06-13,ola cab,5055.29,0,travel
2025-07-03,miscellaneous expense,8139.21,1,others
2025-07-24,amazon purchase,7596.88,1,shopping
2025-09-22,flipkart order,3273.3,0,shopping
2025-06-17,electronics purchase,5088.9,0,shopping
2025-09-01,train ticket,1537.31,1,travel
2025-09-23,donation,5514.56,0,others
2025-10-18,train ticket,2163.36,1,travel
2025-07-02,amazon purchase,4736.14,0,shopping
2025-08-16,restaurant dinner,1449.31,0,food
2025-09-02,flight booking,8234.71,0,travel
2025-08-12,gift purchase,2312.63,0,others
2025-10-08,dominos pizza,7596.19,0,food
2025-06-29,stationery,4759.79,1,others
2025-07-30,cafe coffee,446.31,0,food
2025-10-01,pharmacy purchase,9716.54,1,health
2025-09-16,zomato delivery,6451.23,0,food
2025-10-25,fuel refill,5610.34,1,travel
2025-10-03,swiggy order,2191.83,1,food
2025-10-04,concert pass,5297.07,0,entertainment
2025-07-27,myntra shopping,3294.14,0,shopping
2025-08-21,gym membership,2096.5,0,health
2025-10-04,dth recharge,2282.43,0,bills
2025-06-08,doctor visit,5095.87,1,health
2025-08-26,mcdonalds lunch,141.15,1,food
2025-10-13,concert pass,1362.4,0,entertainment
2025-07-22,electronics purchase,1033.94,1,shopping
2025-07-19,spotify premium,9430.06,0,entertainment
2025-10-27,grocery store,1774.09,0,shopping
2025-10-19,mcdonalds lunch,752.76,1,food
2025-09-21,doctor visit,1612.9,1,health
2025-09-22,mobile bill,1844.71,1,bills
2025-06-13,electricity bill,1901.79,1,bills
2025-08-19,swiggy order,8691.95,0,food
2025-06-11,swiggy order,9755.44,0,food
2025-08-05,protein supplements,3933.85,0,health
2025-10-21,mcdonalds lunch,1017.95,1,food
2025-06-05,electricity bill,9390.61,1,bills
2025-06-05,amusement park,875.82,1,entertainment
2025-06-23,mobile bill,295.65,1,bills
2025-08-25,netflix subscription,9340.88,1,entertainment
2025-06-26,netflix subscription,7225.26,0,entertainment
2025-06-30,flipkart order,5860.42,0,shopping
2025-09-05,internet recharge,7684.78,0,bills
2025-09-17,health checkup,4237.49,0,health
2025-10-01,stationery,8335.31,0,others
2025-10-27,grocery store,3372.05,0,shopping
2025-06-24,netflix subscription,8100.07,1,entertainment
2025-10-21,dth recharge,362.98,0,bills
2025-09-23,train ticket,9975.0,1,travel
2025-10-25,mcdonalds lunch,6468.48,0,food
2025-06-15,movie ticket,4269.39,1,entertainment
2025-10-05,mobile bill,1591.54,1,bills
2025-06-25,protein supplements,3976.04,1,health
2025-10-25,spotify premium,1496.44,1,entertainment
2025-06-29,electronics purchase,7735.04,1,shopping
2025-08-06,train ticket,6438.8,1,travel
2025-07-27,spotify premium,1286.02,1,entertainment
2025-06-30,dth recharge,2840.17,1,bills
2025-10-28,gift purchase,6838.93,1,others
2025-07-07,swiggy order,7670.73,1,food
2025-06-20,zomato delivery,5576.6,1,food
2025-08-05,gym membership,301.19,1,health
2025-07-12,grocery store,4846.82,1,shopping
2025-10-08,amazon purchase,3156.6,0,shopping
2025-07-14,myntra shopping,2747.28,1,shopping
2025-08-25,train ticket,9435.66,1,travel
2025-10-06,amusement park,2175.12,0,entertainment
2025-07-15,water bill,8998.6,1,bills
2025-09-02,stationery,4300.84,0,others
2025-08-30,miscellaneous expense,3089.6,1,others
2025-07-02,concert pass,53.35,1,entertainment
2025-08-25,train ticket,1944.62,1,travel
2025-10-14,grocery store,8829.43,0,shopping
2025-08-01,concert pass,5517.4,1,entertainment
2025-10-15,health checkup,9654.02,1,health
2025-09-28,donation,526.45,0,others
2025-06-26,water bill,1017.3,1,bills
2025-06-15,doctor visit,2343.18,1,health
2025-09-18,flipkart order,4098.35,0,shopping
2025-10-07,myntra shopping,2434.66,1,shopping
2025-07-21,zomato delivery,8136.57,1,food
2025-09-18,zomato delivery,627.27,1,food
2025-06-23,myntra shopping,420.63,1,shopping
2025-10-15,amazon purchase,1023.44,0,shopping
2025-06-29,health checkup,7561.13,0,health
2025-07-28,fuel refill,8789.95,0,travel
2025-07-29,cafe coffee,1097.36,0,food
2025-08-31,water bill,6251.86,1,bills
2025-07-29,water bill,336.67,0,bills
2025-06-21,doctor visit,5507.43,0,health
2025-06-16,donation,5355.94,0,others
2025-07-04,doctor visit,371.25,0,health
2025-07-24,ola cab,4798.77,0,travel
2025-10-05,protein supplements,4438.06,1,health
2025-08-11,fuel refill,7575.78,1,travel
2025-09-20,gift purchase,3609.62,0,others
2025-09-14,electricity bill,6119.13,0,bills
2025-09-23,internet recharge,3767.22,0,bills
2025-06-15,flight booking,2453.36,1,travel
2025-09-05,donation,4431.74,0,others
2025-09-20,myntra shopping,7387.48,1,shopping
2025-09-26,stationery,3374.03,0,others
2025-06-30,cafe coffee,5769.52,1,food
2025-09-26,dominos pizza,8051.57,0,food
2025-08-27,internet recharge,6751.56,1,bills
2025-10-07,miscellaneous expense,9836.49,1,others
2025-08-25,dominos pizza,876.22,1,food
2025-07-04,dominos pizza,1441.44,1,food
2025-10-24,concert pass,2493.95,1,entertainment
2025-08-27,myntra shopping,7085.65,0,shopping
2025-10-04,dth recharge,3549.89,0,bills
2025-07-02,dominos pizza,7630.59,1,food
2025-09-29,concert pass,3378.92,1,entertainment
2025-06-14,amazon purchase,1092.52,1,shopping
2025-07-31,swiggy order,8656.29,0,food
2025-07-24,netflix subscription,6605.22,0,entertainment
2025-07-26,dth recharge,5019.81,0,bills
2025-07-20,restaurant dinner,7937.63,1,food
2025-07-22,gift purchase,6259.4,1,others
2025-10-04,uber ride,6427.28,0,travel
2025-06-18,donation,2711.12,0,others
2025-07-01,myntra shopping,8317.97,1,shopping
2025-07-19,ola cab,1822.2,0,travel
2025-08-11,electronics purchase,2468.04,0,shopping
2025-08-01,mcdonalds lunch,372.09,1,food
2025-07-15,train ticket,5268.43,1,travel
2025-08-08,pharmacy purchase,5861.02,0,health
2025-09-03,dominos pizza,8014.78,0,food
2025-08-27,cafe coffee,9911.89,1,food
2025-06-04,netflix subscription,8186.58,1,entertainment
2025-09-06,pharmacy purchase,4589.01,0,health
2025-08-28,health checkup,4836.83,0,health
2025-09-29,grocery store,1667.52,1,shopping
2025-10-24,fuel refill,491.44,1,travel
2025-06-23,stationery,2495.76,1,others
2025-08-26,electronics purchase,4056.31,0,shopping
2025-09-09,protein supplements,7652.81,0,health
2025-08-14,bus fare,302.52,0,travel
2025-10-21,movie ticket,9141.16,1,entertainment
2025-07-22,grocery store,6018.26,1,shopping
2025-10-22,cafe coffee,8371.25,1,food
2025-09-04,netflix subscription,589.87,0,entertainment
2025-09-10,flight booking,6575.0,1,travel
2025-08-27,gym membership,2685.48,1,health
2025-09-13,electronics purchase,1464.08,1,shopping
2025-10-27,mobile bill,2445.56,0,bills
2025-07-18,gym membership,6098.26,0,health
2025-08-16,spotify premium,1381.73,0,entertainment
2025-09-30,water bill,736.97,0,bills
2025-09-28,netflix subscription,5454.99,1,entertainment
2025-06-25,flight booking,1805.83,0,travel
2025-09-27,mobile bill,4855.66,1,bills
2025-09-06,movie ticket,3293.07,1,entertainment
2025-08-28,amusement park,8988.44,0,entertainment
2025-10-12,cafe coffee,6218.77,1,food
2025-08-15,dth recharge,7073.47,1,bills
2025-10-06,electronics purchase,1303.79,0,shopping
2025-09-04,protein supplements,1554.35,1,health
2025-10-19,mcdonalds lunch,6626.55,1,food
2025-08-09,spotify premium,7877.33,1,entertainment
2025-08-04,stationery,8024.95,1,others
2025-07-08,zomato delivery,3599.44,0,food
2025-06-22,pharmacy purchase,2261.17,1,health
2025-08-06,internet recharge,3630.47,1,bills
2025-09-10,internet recharge,7965.84,0,bills
2025-09-02,mcdonalds lunch,213.97,1,food
2025-06-25,gym membership,3594.19,0,health
2025-09-11,swiggy order,3486.4,1,food
2025-10-27,netflix subscription,4813.41,0,entertainment
2025-08-17,health checkup,8166.95,1,health
2025-07-02,electronics purchase,5922.14,1,shopping
2025-08-15,doctor visit,4945.34,0,health
2025-07-12,internet recharge,6734.7,1,bills
2025-09-28,water bill,7130.13,0,bills
2025-07-09,gift purchase,7904.77,1,others
2025-06-10,spotify premium,1861.52,0,entertainment
2025-06-26,zomato delivery,9491.08,1,food
2025-06-02,ola cab,7479.9,1,travel
2025-07-26,gift purchase,4675.09,0,others
2025-10-19,dth recharge,6406.69,1,bills
2025-07-11,dth recharge,2501.88,1,bills
2025-07-10,stationery,1033.42,1,others
2025-08-24,ola cab,7745.39,1,travel
2025-06-14,uber ride,1148.22,0,travel
2025-09-23,doctor visit,4997.44,1,health
2025-10-11,myntra shopping,6470.71,1,shopping
2025-10-13,fuel refill,3511.66,0,travel
2025-09-27,swiggy order,3401.84,0,food
2025-10-18,gym membership,4488.45,1,health
2025-07-28,health checkup,8603.65,1,health
2025-07-26,dth recharge,409.62,0,bills
2025-09-21,concert pass,1196.01,1,entertainment
2025-10-15,dominos pizza,1820.82,1,food
2025-09-08,zomato delivery,772.58,0,food
2025-10-20,stationery,2075.35,1,others
2025-09-08,uber ride,7487.63,0,travel
2025-07-06,amusement park,4494.0,1,entertainment
2025-06-07,gym membership,6438.09,0,health
2025-10-21,health checkup,6368.74,0,health
2025-09-21,gym membership,117.6,1,health
2025-08-13,stationery,9040.51,1,others
2025-07-02,bus fare,6944.59,1,travel
2025-08-12,amazon purchase,4657.53,0,shopping
2025-10-04,bus fare,1367.75,1,travel
2025-06-14,concert pass,2239.89,0,entertainment
2025-06-09,gym membership,6759.83,0,health
2025-07-22,mobile bill,5541.93,0,bills
2025-06-14,bus fare,2109.12,1,travel
2025-08-09,zomato delivery,9594.56,0,food
2025-08-28,uber ride,5118.89,1,travel
2025-10-13,amusement park,3644.06,1,entertainment
2025-10-18,amazon purchase,4698.75,0,shopping
2025-07-26,amusement park,1307.22,0,entertainment
2025-09-28,doctor visit,5546.85,1,health
2025-07-31,internet recharge,8100.48,0,bills
2025-07-18,train ticket,6619.95,0,travel
2025-08-21,gym membership,624.26,1,health
2025-10-18,ola cab,8825.98,0,travel
2025-07-24,protein supplements,5685.79,0,health
2025-08-21,electricity bill,5294.18,0,bills
2025-06-05,grocery store,9181.87,0,shopping
2025-09-19,train ticket,520.79,1,travel
2025-09-18,stationery,3177.49,1,others
2025-06-11,train ticket,395.6,0,travel
2025-08-02,mobile bill,680.08,0,bills
2025-08-06,amazon purchase,3257.08,0,shopping
2025-06-07,myntra shopping,473.51,1,shopping
2025-08-02,fuel refill,9374.75,1,travel
2025-06-05,pharmacy purchase,8130.93,0,health
2025-06-20,dominos pizza,6482.37,1,food
2025-10-15,grocery store,1648.16,0,shopping
2025-06-08,water bill,5456.97,0,bills
2025-06-20,amazon purchase,737.63,0,shopping
2025-10-14,uber ride,881.66,0,travel
2025-07-24,zomato delivery,9558.93,1,food
2025-08-28,fuel refill,8859.85,0,travel
2025-10-03,gift purchase,1271.29,1,others
2025-09-19,water bill,3310.56,0,bills
2025-06-17,netflix subscription,1041.71,1,entertainment
2025-07-03,concert pass,2942.73,0,entertainment
2025-06-25,mobile bill,6783.21,0,bills
2025-06-05,fuel refill,2516.63,0,travel
2025-10-27,mobile bill,3357.39,0,bills
2025-08-29,flipkart order,6154.34,1,shopping
2025-06-13,concert pass,9438.92,1,entertainment
2025-06-03,doctor visit,4867.94,0,health
2025-06-29,flight booking,4047.66,1,travel
2025-06-05,cafe coffee,4232.63,0,food
2025-10-17,bus fare,5887.98,1,travel
2025-06-01,concert pass,3176.57,1,entertainment
2025-07-07,ola cab,5207.35,0,travel
2025-08-15,grocery store,453.63,1,shopping
2025-10-28,train ticket,5453.11,1,travel
2025-10-22,ola cab,9289.02,1,travel
2025-07-19,grocery store,9840.92,0,shopping
2025-07-12,restaurant dinner,7709.24,1,food
2025-07-14,pharmacy purchase,199.8,1,health
2025-09-14,grocery store,2953.97,0,shopping
2025-06-26,pharmacy purchase,4249.89,0,health
2025-08-31,miscellaneous expense,3436.55,0,others
2025-06-24,amusement park,9548.2,0,entertainment
2025-08-27,train ticket,557.0,1,travel
2025-10-03,swiggy order,5806.06,0,food
2025-08-20,movie ticket,6083.69,0,entertainment
2025-10-04,myntra shopping,833.28,1,shopping
2025-06-13,doctor visit,2382.85,1,health
2025-10-17,protein supplements,4594.07,1,health
2025-07-07,amazon purchase,7877.55,1,shopping
2025-06-25,amusement park,8581.03,0,entertainment
2025-08-02,flight booking,611.35,1,travel
2025-07-06,electricity bill,6638.59,0,bills
2025-10-09,gym membership,4252.1,0,health
2025-06-27,flipkart order,4238.6,1,shopping
2025-08-18,zomato delivery,266.97,1,food
2025-06-07,electronics purchase,6650.59,0,shopping
2025-06-20,stationery,6865.11,0,others
2025-10-02,spotify premium,2823.57,1,entertainment
2025-07-12,pharmacy purchase,3593.9,1,health
2025-06-14,pharmacy purchase,5487.12,0,health
2025-09-22,donation,1136.88,1,others
2025-10-08,ola cab,7835.55,0,travel
2025-10-28,internet recharge,320.33,0,bills
2025-08-07,pharmacy purchase,5422.82,1,health
2025-10-22,mobile bill,5329.49,1,bills
2025-07-30,mobile bill,4665.33,0,bills
2025-06-08,restaurant dinner,7008.87,0,food
2025-09-27,netflix subscription,4280.23,1,entertainment
2025-09-04,stationery,9925.13,1,others
2025-10-21,gym membership,4408.84,1,health
2025-08-13,health checkup,9471.4,0,health
2025-08-08,movie ticket,9658.39,0,entertainment
2025-06-14,doctor visit,4673.0,1,health
2025-07-09,flipkart order,4946.06,0,shopping
2025-09-19,gym membership,3070.06,1,health
2025-06-06,spotify premium,1270.08,1,entertainment
2025-06-21,internet recharge,9586.98,1,bills
2025-06-26,stationery,9590.7,1,others
2025-06-23,doctor visit,9480.56,1,health
2025-09-04,electronics purchase,4312.02,0,shopping
2025-10-25,amazon purchase,4956.78,0,shopping
2025-07-29,swiggy order,3709.85,0,food
2025-06-02,zomato delivery,4111.41,0,food
2025-06-19,donation,9604.16,0,others
2025-10-21,gym membership,2955.11,0,health
2025-07-10,doctor visit,7712.85,1,health
2025-08-08,gift purchase,2448.18,1,others
2025-06-03,flight booking,8919.69,1,travel
2025-08-25,dominos pizza,692.21,0,food
2025-10-07,train ticket,2330.55,1,travel
2025-08-07,myntra shopping,2878.37,1,shopping
2025-09-10,bus fare,478.67,0,travel
2025-08-14,gift purchase,7992.31,0,others
2025-06-05,water bill,5374.03,1,bills
2025-10-06,pharmacy purchase,1329.94,0,health
2025-06-02,amazon purchase,4638.55,1,shopping
2025-07-29,flipkart order,1124.29,1,shopping
2025-07-28,fuel refill,8379.28,0,travel
